,index,text,class_id,website,author
2191179,818030,@Brian Cannon With the Retracto Alpaca Emblem no less.,1,Project Veritas,Brother Kellymatthew Barnes
915516,179060,If bidden gets in you're not going to see any convictions,1,One America News Network,Betty-Jane Cecile
2117472,1556290,It's completely outrageous that we are forcing this torment and confusion on our kids.THIS HAS GOT TO STOP. COP ON TO YOURSELVES PARENTS WHO INDULGE IN THIS NONSENSE!,1,The Daily Signal,Polo
668288,1602604,"AOC does care about america, but her policies are flawed and she isn't fit to be a member of congress if she doesnt use cause and effect to make decisions.",1,BlazeTV,I Vote Based On Money
201260,261419,@Wisdom Tooth you’ve added nothing to this conversation,0,The New Yorker,Lloyd Christmas
2188440,1076664,"Don't make it a liberal conservative thing, it's about news period",1,MRCTV,freddaroc
1908519,13447,And the left would have anyone foolhardy enough to believe that they'll be winning back the House of Representatives this November.,1,One America News Network,THX 1138
1658363,175811,You should also check out The First and Real America’s Voice News.,1,One America News Network,BMan78
702642,1530176,Did you even hear the whole recording or just the media's cropped version? She's complaining about ppl caring more about the decor than the children.,1,Fox News,Rose Torn
60703,1694594,I think I know why he chose her since his memories gone he couldn't remember that he even got yelled at.,1,BlazeTV,N R
815365,875665,Kick the press out and start doing weekly addresses directly to the people on tv....enough is enough,1,Breitbart News,Porcupine Logic
105648,1393676,"I've seen two different types ufos here in us right over harlem at different times. Whatever they are they are real, too many people are witness to them.",1,Fox News,VALENTINEproductions
665352,615240,"What d hell does thst Tyndale thing hv to do with Trump. Anyways, God bless Trump.",1,Right Side Broadcasting Network,DZA
1023061,2170310,Why would stores want to stick around and rebuild after their community trashes them without justification?,1,The Daily Wire,raynebc
640349,69283,"I have searched an not found a single scholarly article in which the PCR type tests for covid19 were confirmed by using microscopy ( using an electron scanning microscope) Other illnesses can produce the same symptoms and compications.   A recent study conducted by Chinese medical professionals in China studied more than 600 hospitalized covid patients and found that many individuals tested positive with the PCR tests initially then as they improved in recovery, they tested negatively.  However, these same individuals tested positive when fully recovered.",1,One America News Network,Brian Husted
27751,823433,I'm your REAL dad. Brandon Tatum is awesome !,1,Project Veritas,stuey2112
411235,805924,Love JOK.  A true journalist and a true patriot.,1,Project Veritas,R Stefanie
1047816,1591365,You can see she is actually asking herself if this is a comedy sketch and the hidden camera men to pop out at any time to expose while thing,1,BlazeTV,Woden The Wanderer
2163587,849581,@Nilah W. tell me the truth..no one has been able too,1,Breitbart News,dbigsmooth1
942342,378149,"I'd tell that smug oaf there's a HUGE difference between ""educated"" and experience-gained-wisdom.",1,Campus Reform,John Smith
677861,88591,@Sav Sav  Democrats in Pennsylvania gave new meaning to the phrase 'nothing to see here' when they covered-up the windows with cardboard.  It's on video.,1,One America News Network,Jason Michael
1516394,2029789,Fredo feeling unpowered because of his older brothers position.,1,The Daily Wire,Iwant 2spanku
2130522,2220586,He only supports Obama because he's black.,0,RWW Blog,Boomorang Utan
704539,2001932,Congratulations!!!!! You’ll be a great addition!!! Bravo💯,1,The Daily Wire,Marilyn Dresser
1674453,1728914,"FIRST TIME ANYONE EVER SPOKE BACK TO NADLER, AND HE HAS TO LISTEN.",1,BlazeTV,J.D. Maya
146624,342970,"Exactly but the only way to get these corrupt,  LYING, CRIMINAL, SWAMP creatures OUT is  by making a law that sets TERM and AGE LIMITS.  Get them out after 8 years for congresspersons, 10 years for senators, and 20 years for supreme court justices.",1,The First,david curiel
635552,1567658,"What a sweet person she is.   Yes, she is definitely part of God's plan.",1,The Daily Signal,Jim Carter
153559,731906,"""Do something brave."" If the Dems take power you're going to need to be a great deal braver. Big Tech will rule the roost: they'll be able to suppress whatever they want.",1,Project Veritas,TudorsTigers
2153292,222648,"The FBI is corrupt. 
The CIA is corrupt. 

Don't forget, the FBI purposely hid Hunter's laptop.",1,The Epoch Times,George Washington
1508972,1034600,(  Omg...  Jesus told you that trump was the most powerful man on earth...?|,1,CBN News,prayer valuable support
1790624,1154585,Tucker mad all his viewers switching to Greg Kelly,1,Newsmax TV,Jon Fitisemanu
1363954,860217,"@CaptSpicyWeiner he isnt perfect  cause no one is. Wasting tax payer money on a fraudulent and bogus impeachment is always a good thing. All that money could have helped the homeless, vets, and more.",1,Breitbart News,D W
1468347,2025814,Only thing missing here is a airbag knocking her out when she crashes for not paying attention driving.,1,The Daily Wire,Michael Miller
374330,298581,"The law should state that refusing to accept a peaceful transition, automatically turns that President out of office at once!",0,The New Yorker,Cliff Marsh
2224410,594145,"Don't worry, no one's going to come and arrest you, but you'll probably end up in an asylum because you don't seem to think like a sane person!",1,Right Side Broadcasting Network,Carmine Festa
2118959,977903,Hindhee bhaasaa men anuvaadha kara samajhaane keep kripaa ho....,1,CBN News,Abhishk Rao
692790,1434185,I would call Dear Rosie's bluff on that one. She doesn't have what she told Ben to do something with...let alone the two things that usually go with it...,1,Fox News,Mitch Salawine
1781520,2102201,She just literally rambles on about nothing. It’s amazing.,1,The Daily Wire,Faith Jay
971,1765712,Hillary was a way better speaker than harris imo,1,BlazeTV,Cade Wyman
408150,1399754,See fresh General fighting for the citizens of their own country,1,Fox News,adeyemo abayomi
1957140,1521263,"Oh Greg,aren't you just great! I always lok forward to watching your show!♥️",1,Fox News,Mellie Dela Cruz
996381,1280877,If Biden gets in Wray will bury Hunters laptop,1,Newsmax TV,General Eric
1240318,1905108,"As a Kurd, this man is a real life hero. Rip.",0,The Atlantic,King.K The Best
2161438,1185810,I hope so however it seems to not be so as of yet.,1,Newsmax TV,AR Grover
547679,515895,"Lefty Loonie: You are hurting me


Everyone else:",1,Campus Reform,Brian Brau
1195527,1965156,"""Well the economy is no laughing matter"" 
the best way to start a talking point",0,mediamatters4america,Jimmy Feliciano
2151514,311959,"Bill, you're a journalist. The Charlottesville thing bothers you to this day? So go look up what Trump actually said. He was talking about the confederate flag and statues debate, he said there were fine people on both sides, nothing to do with the far left and klan that showed up later. 
But anyway, after that awful debate it's clear you should moderate one of the debates. They've been terrible in the last few election cycles.",1,The First,lapamful
1554582,369468,0:40 blonde lady looks like Peter Dinklage,1,Campus Reform,Cobalt Crusader
1207462,468034,@J On top of that they are so indoctrinated they'll never even be loveable. SAD!,1,Campus Reform,Man Stache
2128322,1130925,"Except he didn't win the popular vote overall & 60 mill out of 300+ mill isn't some impressive number.

I wouldn't have voted for Hillary or Trump, I didn't like any of the candidates from this election.",0,Daily Kos,Kaleb M
2146693,508115,"Here in India islamists and communists are against yoga, over there liberals seem to be against yoga. Opposites attract indeed !!!!!",1,Campus Reform,Ordinary Guy
2150059,2057403,"Ben is an elitist, even though I do like him,  but there are things he is ignoring that are real issues because he don't understand.  The elite DO NOT understand why people can't just pick up move and learn a new trade without any consequences and without people being justifiably upset.  I know many conservatives disagree with me, but it's a real issue.  This is where the actual community we preach come in.  I don't want to steal your money to help, but if we truly believe in the individual,  family, and community but don't put it in action not only are you a hypocritw you are asking for people to look to the federal govt out of desperation.",1,The Daily Wire,Amber Powell
1786756,7475,Biden must be stop before it becomes another damage Pres. Trump has to fix,1,One America News Network,Sara Burns
756601,2145779,Those poor girls behind her are uncomfortable and embarrassed this is so wrong for them to have to be a part of this shit storm.,1,The Daily Wire,Janis Hewes
1190511,2228649,"He was doing so well, until he got to the part about ""co-opting women.""  Yeah, it's not like the Democrats actually mean what they say, and really care about women, their rights and their well-being...",0,RWW Blog,rloomis3
813669,1579871,Even HEAVEN has borders. You have to become a citizen of heaven to get in. Not everyone gets in heaven.,1,BlazeTV,DM Juds
1672120,843833,She kicks some serious ass. Love her. Trump 2020!,1,Breitbart News,Garretfire
608199,147515,Dc Fly..most of our ppl don't have a clue.,1,One America News Network,Shadrack
1563420,978426,"Sad to lose your loved one after 65 years of marriage, you are blessed to have loved and known your wife for so long.",1,CBN News,Gail McLaughlin
1477260,493009,College students not proud to be an American? Let them study abroad in the Middle East for awhile and see how it goes. I'll bet they would be proud then.,1,Campus Reform,Duke Togo
317541,648684,"James Rafferty YouTube is obviously just trying to stop it from getting trended and passed around.
didn't work yesterday cuz people just make comment videos and post them just like they're going to add this one.
all it shows is that Facebook is as underhanded and dirty as CNN",1,Project Veritas,Hanasshole solo
1683333,943879,Her role was to protect Hunter Biden and Barisma,1,Breitbart News,American Citizen
467000,799902,The fact you stated you can't be paid to settle because you stand on Principle made me Respect your channel and you as a person a whole lot more.,1,Project Veritas,Mind Yours
1660588,727049,God bless him for being so brave.  I hope he's protected.,1,Project Veritas,Vaughn
377851,1998320,Democrats would have never allowed Tulsi to become president. She's too outspoken and not corrupted.,1,The Daily Wire,John Lee
270543,1497261,"Wow, impressed that you pick on the elderly so that you can feel smart.",1,Fox News,lrwdevil
359903,1142444,*Starting* with Chris’s is one that I don’t see as a negative at all?,0,Daily Kos,Jicky Jack
2193415,1419590,"God Bless you, we are keeping the faith, and will not waiver to the insults or denigration as the evil left tries to weaken us.",1,Fox News,Aspiring Vegan CRios
661782,820311,"Ya there course most mainstream new outlets use tell a reporters .com to validate there story’s with that’s y they can be published even have a single fact it there article, meanwhile anyone can post into this website anonymous I might ad and as long as one article matches the one they just wrote they will use that as source even tho both are totally fake and Anyone with half a brain can research the article and prove it within minutes but it’s no surprise when u realise most journalists only spend a few mins gathering facts and then another hour or two at max writing the article before its posted either online or in the news paper its a totally mockery to what news should be and how an investigation should be ran",1,Project Veritas,Jame Donrel
1691331,1518346,"@Kendall Kingston Kendall Kingston, can you name a politician that is satisfied with the exact state of American policy???  I seem to remember a campaign slogan that insinuates America is not great like it used to be... so if you are here today defending this...you really don't understand how hypocritical your comment is.  That's fascinating.",1,Fox News,Anthony Bongiovanni
870425,190555,"I have lived in Upstate NY my whole life and have never visited NYC nor had any desire to.  Feels like I had it right from the start.  Up here most businesses are open, there are no protests and community/police relations are great.  Sorry for those that are suffering under the harsh dictatorial rule of Comrade DeBlasio. Head North of Syracuse and there are still places where sanity reigns.",1,The Federalist,BlueCrawler
1069098,1983551,Well I'm using this for a shitty school debate wish me luck,1,The Daily Wire,Epic Waffles
1015337,426503,"As long as it's speech they agree with, that is.",1,Campus Reform,Richard Stevens
1585500,61246,"They MUST be removed immediately! 
Justice will PREVAIL!!!
GOD BLESS AMERICA!
GOD BLESS OUR PRESIDENT!
#TRUMP2020 #KAG2020",1,One America News Network,Yuko Kay Stevenson
1569011,1495672,"@John King Stop blaming Trump for an uncontrollable airborne virus. That's like saying every countries President is to blame for the deaths in their countries as well. Get a clue, clueless! Will you blame Pelosi for going on national television and telling everyone there's nothing to fear back when we first heard of Covid-19?",1,Fox News,The Mean Arena
1591031,1182987,I don't believe this story. No way that Hillary Clinton has any friends.,1,Newsmax TV,rockpile
1718424,1381202,With all the BS trump's gotten away with i agree the justice department is corrupt.Lock the crook Trump up and throw away the key.,1,Fox News,Daniel Warner
420973,137200,The state legislature is a joke. They're more interested in punishing plastic straw users than in dealing with problems that have been plaguing the state for decades.,1,One America News Network,Alex Holub
890710,2188249,@proskk1 it's a ignorant thing to think that Ms. Rice is the first lady.,0,RWW Blog,screwface1011
703496,1977117,"@Caleb Irizarry haha thanks, thought this was an actual die hard movie.... appears to me that casting decisions were a desperate attempt for leftist acceptance. And I don’t have a problem with the female lead, looks like she can actually act. Just think that it’s a hilarious and slightly pathetic plot coming from daily wire.",1,The Daily Wire,Hayden Luyk
1384827,1069664,Preordained or prophesied as contributing to the falling away that comes before the one world peace agenda???,1,CBN News,Mandela Australia
1139326,1342843,No one told him what to say. He has done nothing and is only a pawn in the democratic game of pinky and they brain.,1,Newsmax TV,Lia
420632,1440910,"When he said Whoopi Goldberg isn’t that funny, I felt that. She hasn’t been funny since the 90s and I was some dumb kid back then so what did I know.",1,Fox News,stufoo
3923,1077982,i can see all of those women owning 10-15 cats each.,1,MRCTV,skeeyouchoochoo
668875,1894211,This video has very little to do with feminism. It is about the cons of capitalism being played out in an easily understandable small scale setting.,0,The Atlantic,Blah
1777524,776213,@thunberbolt two people like you are why I have such little hope to start with.,1,Project Veritas,chadnuts
1444865,2000219,I wonder how stupid those 3k dislike people are,1,The Daily Wire,Daniel GG
513788,169754,Or maybe he dropped out because he realized he's a commie and that we should have a president who is not.,1,One America News Network,Vegan Wolf
1448842,2231550,"Huckabee you sick maniac, those old stories are just old Jewish  fictional spin on natural events. You are not a Jew.",0,RWW Blog,MrRedthief
897825,1801563,Weird how the comments don’t reflect the likes to dislike ratio🤔 almost like they’ve been faked,0,The Root,Connor Pendergast
838366,1121996,WOW! What a speech! If only Trump could give that speech.,1,MRCTV,garmin1
1005333,1260566,"IT'S OVER, BIDEN WINS...........LIFE IS GREAT!",1,Newsmax TV,L W
166963,244145,The curry and harden were the best. Had me dying when curry ran out the gate before the shot went in,0,The New Yorker,Live From The Motherland
1698249,2099008,Bro.....was thinking the same thing in my head. Haha,1,The Daily Wire,Sir Fuego
1297103,1850604,"Camellia S.  I think its both. Since it's becoming more normal and okay to talk about mental health as an issue, more people are jumping to that as a possible out to their problems. YES, there are people with chronic mental illness, but I'm sure there are plenty of mis-diagnosed patients because its not very easy to determine evidence of such a chronic illness. EVERYBODY gets depressed, gets anxious, but some are mistaking their moments as an illness, not just being human. Then getting treated as if they have chronic depression/anxiety.. when really they just need someone to talk to.",0,The Atlantic,ScruffyTusks
1123304,638636,@Bailey Morrish Relax and enjoy his re-election.,1,Right Side Broadcasting Network,jimmer hardy
1763111,38981,"Buraq will sort this all out
Buraq in the name of the Flying Donkey Horsey Thingy 
she worships — Buraq Lives Now in Allah’s Pet Barn in Paradise 
and he plans to return to Earth with Allah on Judgement Day",1,One America News Network,JOHN LONGENECKER
1845660,2132616,He’s correct on almost everything. There’s another video where he gets it pretty much 100% correct.,1,The Daily Wire,HumanHybrid
1312768,1680268,We as the people need to stand up against our corrupt governments across the globe,1,BlazeTV,Jere Bergen
1567620,1102973,"John Dyer...Beam me up Jesus, this world is not my home!! Or as Carrie Underwood sang, ""This is my temporary home..."" beautiful song!",1,MRCTV,Susannah Wilson
1686688,1655086,"@Tuty Quinton Ha! Yeah, I hear you. With Hershel, I think the youthfulness just comes along with being a genetic freak. Or maybe he DID bring it with him from Georgia, who knows??",1,BlazeTV,Quasi Motto
1035291,579160,"President Trump won big, Joe Biden is cheating, President Trump is still my President ❤️💪🇺🇸",1,Right Side Broadcasting Network,Michelle P
329851,295861,"For the marriage councilor one:

*""I can't handle my wife anymore. She's gone completely off the wall!""*",0,The New Yorker,elvenhearted1
2132628,851848,@Carlo Young snopes is the wrong place to pull anything from..,1,Breitbart News,spencer wells
1782809,1105704,"I always flew my flag proudly, my dad was ww2. I say let them leave and go back where they belong.",1,MRCTV,Lois Carrillo
1720254,428189,"Everyone dressed like they're going on an arctic expedition, crying about the earth heating up.",1,Campus Reform,Uncle Rico
691203,293984,A year late but it was just a catchphrase he started his stand up perfs with,0,The New Yorker,topple
63195,460467,"If America isn’t great, then why the hell do people keep coming here? And why don’t people leave?",1,Campus Reform,Doogerauoy Sihtdaer
225934,1825381,I guess that's why they don't want  volunteers down there  helping out,0,The Atlantic,pee tree
574863,848552,"Blood LOL! :)))) Whatever is against the neo-marxist views is labeled as RACIST and ""fake news"" . Do you want so see how ""fake news"" system works? Read ""1984"" by George Orwell.",1,Breitbart News,M!ke_y M
1533694,2242311,"00:35 he calls 0bama ""His Excellency"" though he forgets his name for a about 2-3 seconds.   Cult members elevate their leaders to super human status, as though they are even above even having a human name.   Damn zombies.",1,Accuracy in Media,Z ombiesAteU
2040665,795836,James...you are _SO_ over the top!   ..........and we LOVE IT!      Hahahahaha!        Keep it up James!  Save the Republic Now!  XD,1,Project Veritas,theresa42213
1173714,376001,"They probably all support violence against Nazis too.  They define Nazi as anyone who isn't an NPC.  Scary times for us ""nazis"", we will surely lose this war unless we take action soon.  Even then, it's an uphill battle.",1,Campus Reform,ek ek
431713,547686,DONALD TRUMP visits flooded Louisiana out neighbors Mexico and downtown DETROIT were I'm from while crooked Hillary is sleeping.,1,Right Side Broadcasting Network,MARIO
2038882,417606,"“Orange man bad” that’s all their argument is.

No values, no principles. If it was Hillary or Bernie in presidency, they’d have no problem with them nominating a judge.",1,Campus Reform,M S
640339,1454769,Support from Alberta Canada. Trump 2020 !!!,1,Fox News,Arthur wellington clah
1947531,1496775,"Mr. HANNITY!, I believe that the American people should put an END!! TO THE DECEITFUL, TREACHEROUS!!!",1,Fox News,Ralph Turner
106032,725957,Without live sparring every one of these clowns will catch a beat down from someone who has been in a fight or two. And as soon as they start real sparring they'll give up the cause,1,Project Veritas,You Mang
47599,2052465,I love how completely ridiculous he makes people's arguments sound,1,The Daily Wire,Andrew Lightbody
1941253,83709,Folding into California liberalcrats that moved into Austin,1,One America News Network,Frank Cardinell Jr
1384409,2132645,i just finished binging on GOT....wow ben was dead on!!,1,The Daily Wire,newt0830
296757,1198355,@ReliableReindeer Nation-wide election fraud invalidates the results. Biden didn't win anything.,1,Newsmax TV,Jolee Zanes
1983346,1657091,"Now that we know all this stuff about George Soros, it seems like he needs to be brought to justice.  But we have too many people right now who have been bought off or are supportive of him.",1,BlazeTV,Jillian Davidson
857138,470544,Another embarrassment for the radical left.,1,Campus Reform,America is in distress
1877660,692217,"This happened across the country in mass. The reason? I suspect 2 reasons, first to bring on national fear. Fear is a great distraction. No matter what is being done on the big screen we will completely ignore it if the theater is on fire.
Second to create an excuse for inappropriate behaviour, as with a pick pocket a well placed trip or misstep that ends in bumping shoulders, gives the perfect cover to pull your wallet from your pocket.",1,Project Veritas,Jay Chapman
1994418,2067846,Tea drinking began as early as 1500 BC in the Yunnan Province of China.,1,The Daily Wire,MR Lohas
1835901,2164850,"""the first people to die in the battle were the lighting crew"" 
Trevor Noah",1,The Daily Wire,Rick Just
1092955,659749,"@TRADE CODE Ask yourself ""What would Democrats do?"" Then realize it's ok to make fun of her appearance. Fuck these people.",1,Project Veritas,Astif Caukinyeras
1106449,852371,Kayleigh is the right person for this job. God bless her.,1,Breitbart News,Randall Keele
1860127,813615,"""Yes but honest journalism is sooo haaard.""",1,Project Veritas,Martin Gauthier
1699094,530343,"Thank you Right Side Broadcasting Network!

Thank you Liz and everyone that braved the weather and other obstacles to stand against the establishment and show the Truth about our President.

It's on all of us now. All of us to get out and vote.

Tell the world and tell the left, THEY DO NOT OWN AMERICA!!!

Good luck to all Patriots at the polls. I'll be watching on RSBN with all of you tonight, praying for our nation.",1,Right Side Broadcasting Network,ProudpatriotUSA
1898581,310121,@Super Soldier I used to watch that.  Wasn't so bad.  Typical 80's fare.,1,The First,Kevin Bautsch
501199,767500,"ok but the first amendment doesn't apply to private entities.  A regulation forcing a platform to every single post, may in fact violate their 1st amendment rights.  Unless you want to claim that corporations do not have constitutional rights... i'm very open to that idea, and we've seen what happens when we treat corporations the same as a living breathing human being in terms of ""God Given Rights""",1,Project Veritas,ASMS_music
1585908,2144934,ben is so disturbed by the movie that you can tell he's shaking mad and trying hard not to flip the table for rationally thinking about the movie.,1,The Daily Wire,Jo
361058,854891,"There’s a good Netflix about Facebook/google being able to swing an national election by 4%.      That’s enough to change any outcome.     Problem is,  google is the entire network.   Every different search engine is still on googles network.       Could the whole “Russia election medling” be a smoke screen for the true election meddlers......?",1,Breitbart News,29-0
1822527,914518,THANK YOU TRUMP.  CAN YOU MAKE CALIFORNIA REOPEN AND CHULA VISTA CALIFORNIA?  YOU ARE THE PRESIDENT BUT THESE GOVERNORS MAYORS AND POLICE THINK THEY HAVE MORE POWER THAN YOU AND THE CONSTITUTION.  SAN DIEGO COUNTY NEEDS YOUR HONEST LEADERSHIP.  I AM READY TO WORK OUT AT THE PARK HERE IN CHULA VISTA SINCE IT IS CLOSEST TO THESE SENIOR CITIZEN APARTMENTS.  SOME OF US WANT TO WORK OUT AND BREATHE FRESH AIR WITHOUT A MASK.,1,Breitbart News,FELECIA JONES
2067292,751571,Where is the MSM? If Tea Party organizers were changing Blue States to Red States it would be Headline News. Will be sharing this over and over to get this out. Great job James.,1,Project Veritas,Robert Mission
472727,1586816,"@Goldberryvil12 so Mr Wizard,  what part of the Constitution addresses masks?",1,BlazeTV,Don G
1047055,859485,What is sad is that he calls people names. He is like a five year old.,1,Breitbart News,david quickel
2200611,1827308,"Ya great, MY SCHOOL STARTS AT 6:30 SO I HAVE TO WAKE UP AT 5:00 AND I COME BACK AT 5:00 BEAT THAT.",0,The Atlantic,Bb Bbaxe
966518,1256284,The people are talking now they want President Trump,1,Newsmax TV,Catherine biondo
1384404,1330066,"@PokerMan I am for clean energy as a lot of people do but to immediately clear out tens of thousands of workers who have skills for the oil pipeline or drilling for oil in America is utterly ridiculous.  If the Wind Mill installer is high in demand why did they fail in setting it up properly in Texas?   No antifreeze spray during cold weathers.  The oil, coal and natural gas is a proven energy source with minimal issues.  So stick with this until better Wind Mills and Solar Panels are installed.",1,Newsmax TV,Rob C
1983816,778242,I guess they think it's okay to spread disinformation and not protect our children!!!,1,Project Veritas,slicker 1
421442,342419,Hey I heard that all the Dem Senators will vote to impeach Trump and just like the general 2020 election the Dems can vote in person and will also be able to mail in a ballot.,1,The First,John Mac
730727,712539,Anybody with eyes can see this election was STOLEN. So much fraud is coming to light. God Bless Project Veritas!,1,Project Veritas,MR. OBVIOUS
721430,90578,"Because the  moves she made in the House was needed to show the people how deep the corruption is. Notice how as more FBI and ""collusion"" documents are being released the more nervous Nancy looks. The House Democrats were involved in the conspiracy against President Trump, and the move to let the House fall into her control was a calculated risk to achieve the goal of taking Democrat power for a long time to come.",1,One America News Network,Steve Yeager
1013079,832216,"Water is a ""chemical"" compound. Also, ""reclaiming my time"" from a witness you just asked a question, isn't a thing.

(Edited for clarity for a nit-picker who has never had a typo or misstated anything ever in any way or degree.)",1,Breitbart News,Uncle Verum
1460087,886237,"STUPID Military, you have Officers sikh wear turban on their head, if that's is not religion what is? They can practice their God while serving the military but the others not allow?",1,Breitbart News,un viet
1409799,813759,"""They're not after me, they're after you, I'm just standing in their way"" Donald J. Trump.",1,Project Veritas,Colin Smith
709328,1124915,They're scum who would take away your 1st and 2nd amendment rights if they had the power.,1,MRCTV,Craig TheSchmeg
1457096,75994,"@Lee Davidson If that was the case they would have stopped the ability to upload, not to view.",1,One America News Network,redblueandgray
661982,2183174,He can talk to god? Would he mind asking what the meaning of life is?,0,RWW Blog,JaayyB
497450,701149,"No need to go looking:  George Soros is at the top, the head of the snake...",1,Project Veritas,Annie MaGee
100088,453910,"Everyone grows up learning nothing in life is free..the left and dems want their side to stay dumb 

Trump 2020!!!!",1,Campus Reform,D Villanueva
1668954,1563566,"These ""individuals"", fell asleep, and never woke up.........................Ole Vet...",1,The Daily Signal,Tom Josker
2222682,89766,“It will get worse before it gets better”. Well the worse is now and coming to the end and better will come very soon. Don’t give up.,1,One America News Network,zoiababy
1612621,1292301,Start sharpening sticks people. Their coming for your guns soon.,1,Newsmax TV,Kenlie King
1245501,599465,We were sleeping already so we didn’t watch.this election is so frustratingly rigged!!?,1,Right Side Broadcasting Network,Wen Rcal
1116215,1531559,Please protect this woman from the communists.,1,Fox News,John Marquardt
1022875,1443813,"@Sean Keenan  Yeah but you're missing the point that it's like 6 people vs 6,000 people",1,Fox News,SuperHappyCake
488031,1561700,"@lilli Wouldn't it just be better to type what your experience was like and also what systems in communism lead to these this amazing death tool. I just wouldn't understand how you have a collective 4% of the world disappear overnight. Also, with google, I get no specifics. With the same logic, I could say Capitalism caused at least 11.3 million deaths, but you'd have no idea how I got to that solution, but it exists.",1,The Daily Signal,Lamar
2193710,230546,"Literally baffles me.  

The only thing I can come up with as of why is that he’s butthurt he was fired and now he’s acting out because people are giving him attention.  

Or he’s deeply invested in hiding something.",1,The Epoch Times,Logic Gates
1588418,2016131,"I agree, this was fantastic!  The thing is that the left doesn't want reasonable discussion, if they did Republicans would win every election!",1,The Daily Wire,djjazzyjeff123
1978307,1962299,"THE ONLY TIME I LISTEN TO FOX NEWS IS WHEN SHEP SMITH IS GIVING THE NEWS, THE REST LIKE HANNITY, TRUCKER AND JUDGE JEANNIE PUT OUT CONSPIRACIES!!  HOW DID JEANNIE BECOME A JUDGE SHE IS A RADICAL?????",0,mediamatters4america,Mary Lou Lee
413950,1889891,"@Lu5ck! We Indians are good in managing at least two languages; what is English? I have my mother tongue that I share with a hundred million others, but English is like a father tongue, that nurtured my mind. It is for your information. Talk to me in Indian English that even the West follows & understands.",0,The Atlantic,Poornakumar Das
1432878,1922307,@Eric R. The police don't try and help the mentally ill.  They abuse them because they don't know how to help them and don't care to help them.,0,The Atlantic,SacredFire
1548149,731175,"@WestNashville1 Logic is not exactly your strong point, huh?",1,Project Veritas,huckfinn22
1177594,185692,I am afraid this is just the start. Once the criminals find a feeding ground they keep feedin'.,1,One America News Network,John Brown
984043,1034252,"People keep doing crimes  !!.  I am not a liberal ,  nor do I care for trump . 
 
Why in the world should criminals be released into the rest of society , to compete for jobs against law abiding citizens ? ,  without serving the time for the awful things that most of them committed  !! . The white man did not point a gun at them and make them break the law , and they need to take responsibility for their actions , and that is the message that should be sent to the youth !!.",1,CBN News,WISHBONEL7
1439271,1912437,"Nice personal biopics. Still a bad, poorly conceived video.",0,The Atlantic,Connor Amlee
1002024,1518692,ALSO ADAM SCHIFF NEEDS ADDRESSED QUICKLY AND DECISIVELY FOR REMOVAL FROM PUBLIC SERVICE PERMINANTLY!!,1,Fox News,William Ramsburg
780069,244838,Lol for melo you shoulda went in the corner and start doin crossovers into a step back,0,The New Yorker,Yawn Sleep
661145,879250,We will never find a press secretary as good as her.,1,Breitbart News,Official Nolan LaValley
493894,863043,These 3 white ladies are not representing me. I am not a victim. It is bad that these things happened to them. Yet to say ALL Americans should fear 2 people in our Democracy is not part of my Reality. It is clear they have some pain to work out. But for them to sit on this camera and say WE ALL should fear this Woman being President is as bad as people who feared the 1st Black Man being elected to the office. I am again disheartened to know they were damaged by the action of Mr Clinton. Yet We are Millions of men and woman of all walks of life. I am a Vet who has served my country with pride. I would be honored to serve with Hillary Clinton as Commander and Chief. As far as the other Candidate running for office. No Experience. No Experience No Experience. That is the TRUTH. I hope these ladies can heal. Be blessed.,1,Breitbart News,Jewell Williams
722392,236815,"2:57, freedom of speech??? WTF, you do realized that you live in CHINA",1,The Epoch Times,btc coins
1210039,733306,"James, please comment on why Project Veritas is listed as a tax-exempt charity.

Please comment on Jaime Phillips entering the Project Veritas HQ. Did Jaime come to you after speaking with WaPo? And Why? Is she working as a journalist? Did you send her undercover? 

James, please comment on the relationship between Jamie Phillips and the relationship with Roy Moore.",1,Project Veritas,Youbones
1944097,2231297,"Frantic screamers like Swanson are often afflicted with and tormented by a, difficult to manage craving for sausage or meatballs. Usually both.  It is likely just a matter of time before the details of his dietary preferences make the Sunday papers.",0,RWW Blog,hpqz
1128558,315149,I hope those women just continue to go shopping for themselves.  Best use of that money huh.,1,The First,rcud1
908619,958004,Yes sir his putting god first and god will. Make him get re-elected  these democrats and their love for gay and abortion. Is sad and dumb but everybody will in front of the all mighty,1,Breitbart News,Jayy Ceee
213548,423701,"@Rick O’Shea Mr. O'Shea that is an insult to the hyena. 

    ""Rillas in the Midst""",1,Campus Reform,Adalberto Bello
773218,1855126,"This isn't a surprise people suffer from ICU Psychosis all the time, my father was in the icu a few years back and had it. Once he was out of his coma he had hallucinations and we had a nurse that told us it was ICU psychosis. He thought he heard a nurse being assaulted in the next room. It was dreadful. took a long time for him to be normal and he still remembers it. He remembers thinking someone with a gun was trying to shot us...",0,The Atlantic,Sage Earp
1092995,1543980,"This girl is 100% right, this isn’t right, there is a reason men and women sports are separated...",1,The Daily Signal,Zeynali Khurshidov
634542,1218244,"If all the corrupt politicians did their job this would never happen. Never did they want to investigate this election. 
 WE THE PEOPLE can NOT allow this. Everyone vote these corrupt politicians out. They have shown their true colors. It's up to us.",1,Newsmax TV,robert parrish
1602648,1376351,This is serious...these people need to be in prison not running the country!!!,1,Fox News,Humpy And Bex
